SeqIDs	lh1	lh2	lh3	weight1	weight2	weight3	area	corner
(1,4,7,2)	-1143.77	-1141.55	-1139.3	0.0102313	0.0947811	0.894988	3	3
(3,1,7,8)	-1182.17	-1182.9	-1181.31	0.259678	0.12524	0.615082	6	3
(1,6,7,3)	-1025.73	-1025.81	-1003.77	2.91096e-10	2.70423e-10	1	3	3
(1,6,2,3)	-1079.53	-1073.3	-1080.21	0.0019622	0.997043	0.000995196	2	2
(5,3,6,8)	-1215.12	-1209.64	-1215.18	0.00414742	0.991944	0.00390812	2	2
(8,3,7,5)	-1222.97	-1225.86	-1226.49	0.921194	0.0513098	0.0274965	1	1
(1,7,6,4)	-1063.57	-1063.57	-1047.51	1.05666e-07	1.05641e-07	1	3	3
(7,8,3,1)	-1182.18	-1182.9	-1181.31	0.258848	0.125597	0.615555	6	3
(1,3,4,8)	-1198.48	-1199.18	-1200.04	0.585025	0.291459	0.123516	4	1
(5,7,8,4)	-1269.43	-1273.24	-1272.23	0.923384	0.0204693	0.0561469	1	1
(1,7,4,8)	-1230.33	-1230.86	-1232.57	0.591245	0.34601	0.0627443	4	1
(8,5,3,1)	-1207.27	-1204.4	-1207.28	0.0512598	0.897963	0.0507775	2	2
(5,7,1,4)	-1143.31	-1145.31	-1145.42	0.794983	0.10832	0.0966975	1	1
(7,1,3,2)	-1104.67	-1096.39	-1105.21	0.000254087	0.999597	0.000148528	2	2
(6,3,5,4)	-1131.25	-1129.67	-1131.16	0.143565	0.699266	0.15717	2	2
(3,6,5,1)	-1076.8	-1076.28	-1074.42	0.0742753	0.124829	0.800896	3	3
(4,2,1,7)	-1141.55	-1143.77	-1139.3	0.0948047	0.01023	0.894965	3	3
(7,6,3,1)	-1003.77	-1025.73	-1025.81	1	2.9082e-10	2.70403e-10	1	1
(5,7,2,8)	-1284.97	-1284.25	-1285.88	0.287905	0.595904	0.116191	4	2
(4,1,5,3)	-1115.68	-1116.21	-1116.28	0.466955	0.276279	0.256766	7	1
(8,4,1,5)	-1248.53	-1251.58	-1251.44	0.907039	0.0432045	0.0497567	1	1
(2,1,5,7)	-1139.98	-1148.1	-1148.64	0.999526	0.000299993	0.000173699	1	1
(8,4,6,5)	-1253.94	-1258.82	-1258.62	0.983343	0.00747045	0.00918606	1	1
(8,1,6,3)	-1166.53	-1166.55	-1164.21	0.0823013	0.0803008	0.837398	3	3
(4,5,1,6)	-1119.78	-1117.47	-1119.53	0.0805737	0.815536	0.10389	2	2
(5,3,8,2)	-1258.96	-1259.05	-1257.71	0.185643	0.169614	0.644742	7	3
(4,8,5,3)	-1251.04	-1252.71	-1254.02	0.806815	0.152313	0.0408716	1	1
(3,1,4,8)	-1198.48	-1200.04	-1199.18	0.584639	0.123534	0.291827	6	1
(4,2,5,7)	-1192.44	-1197.78	-1196.73	0.981799	0.0047347	0.013466	1	1
(7,8,1,6)	-1143.74	-1144.7	-1138.62	0.00594677	0.00227454	0.991779	3	3
(6,4,3,8)	-1212.75	-1212.36	-1214.23	0.370917	0.544761	0.0843228	4	2
(7,4,1,3)	-1099.84	-1100.06	-1098.65	0.196661	0.156995	0.646344	6	3
(1,4,2,6)	-1118.44	-1113.23	-1116.03	0.00512669	0.937858	0.0570148	2	2
(3,5,8,7)	-1225.86	-1222.97	-1226.49	0.0512731	0.921206	0.0275212	2	2
(3,4,2,8)	-1248.81	-1247.81	-1246.46	0.0705104	0.191958	0.737532	3	3
(1,8,4,3)	-1200.04	-1199.18	-1198.48	0.123501	0.291572	0.584927	5	3
(2,8,6,1)	-1220.35	-1220.89	-1216.25	0.0161211	0.00938904	0.97449	3	3
(8,4,2,1)	-1231.81	-1238.11	-1236.76	0.991203	0.00181742	0.00697986	1	1
(5,7,2,8)	-1284.97	-1284.25	-1285.88	0.287905	0.595904	0.116191	4	2
(7,6,1,5)	-1046.02	-1059.5	-1059.46	0.999997	1.39773e-06	1.46237e-06	1	1
(8,5,4,6)	-1258.62	-1253.94	-1258.82	0.00918389	0.983347	0.00746867	2	2
(2,4,1,3)	-1103.11	-1101.13	-1104.95	0.119329	0.861737	0.0189339	2	2
(4,1,6,3)	-1075.21	-1075.02	-1075.53	0.340633	0.412054	0.247313	7	2
(1,7,8,4)	-1230.33	-1232.57	-1230.86	0.591247	0.0627441	0.346009	6	1
(6,5,2,7)	-1117.09	-1117.38	-1102.2	3.40757e-07	2.54744e-07	0.999999	3	3
(6,3,4,1)	-1075.21	-1075.02	-1075.53	0.340593	0.412097	0.247309	7	2
(5,8,2,6)	-1272.37	-1272.29	-1271.2	0.188821	0.204644	0.606536	7	3
(2,8,6,3)	-1227.7	-1227.64	-1227.7	0.327014	0.345908	0.327077	7	2
(7,8,4,5)	-1272.23	-1273.24	-1269.44	0.0563525	0.0205519	0.923096	3	3
(8,4,2,6)	-1267.07	-1268.48	-1266.93	0.418126	0.102283	0.479591	6	3
(7,5,3,8)	-1222.98	-1226.49	-1225.86	0.921085	0.0275355	0.0513793	1	1
(1,6,3,7)	-1025.73	-1003.77	-1025.81	2.91103e-10	1	2.70423e-10	2	2
(1,8,3,2)	-1201.52	-1201.52	-1195.41	0.00220891	0.00220913	0.995582	3	3
(1,8,3,5)	-1207.28	-1207.27	-1204.4	0.050801	0.0513024	0.897897	3	3
(8,7,4,3)	-1226.17	-1224.88	-1225.99	0.171809	0.623048	0.205143	7	2
(8,3,6,4)	-1212.75	-1214.23	-1212.36	0.371192	0.0843362	0.544471	6	3
(2,5,3,1)	-1113.71	-1113.96	-1108.19	0.00398303	0.00310695	0.99291	3	3
